STATION,year,month,PRCP_sum,TMAX_mean,TMIN_mean,TMEAN,ym
USW00093134,2004,1,0.47000000000000003,66.51612903225806,47.83870967741935,57.38709677419355,2004-01-01
USW00093134,2004,2,4.89,65.10344827586206,47.37931034482759,56.48275862068966,2004-02-01
USW00093134,2004,3,1.17,74.51612903225806,55.03225806451613,65.09677419354838,2004-03-01
USW00093134,2004,4,0.04,74.5,56.63333333333333,65.83333333333333,2004-04-01
USW00093134,2004,5,0.0,79.0,60.45161290322581,69.96774193548387,2004-05-01
USW00093134,2004,6,0.0,76.3,62.266666666666666,69.53333333333333,2004-06-01
USW00093134,2004,7,0.0,82.09677419354838,63.935483870967744,73.25806451612904,2004-07-01
USW00093134,2004,8,0.0,80.90322580645162,64.0,72.6774193548387,2004-08-01
USW00093134,2004,9,0.0,84.16666666666667,64.96666666666667,74.8,2004-09-01
USW00093134,2004,10,4.56,73.0,57.16129032258065,65.38709677419355,2004-10-01
USW00093134,2004,11,0.2,68.1,50.1,59.4,2004-11-01
USW00093134,2004,12,8.77,67.45161290322581,47.96774193548387,57.87096774193548,2004-12-01
USW00093134,2005,1,9.32,66.61290322580645,49.87096774193548,58.516129032258064,2005-01-01
USW00093134,2005,2,11.02,66.60714285714286,51.0,59.125,2005-02-01
USW00093134,2005,3,2.14,68.7741935483871,52.58064516129032,60.854838709677416,2005-03-01
USW00093134,2005,4,1.05,72.16666666666667,53.56666666666667,63.18333333333333,2005-04-01
USW00093134,2005,5,0.19,75.90322580645162,58.61290322580645,67.58064516129032,2005-05-01
USW00093134,2005,6,0.0,75.63333333333334,59.53333333333333,67.83333333333333,2005-06-01
USW00093134,2005,7,0.0,82.25806451612904,63.67741935483871,70.83870967741936,2005-07-01
USW00093134,2005,8,0.0,82.29032258064517,64.0,73.14516129032258,2005-08-01
USW00093134,2005,9,0.29,79.63333333333334,60.0,69.81666666666666,2005-09-01
USW00093134,2005,10,1.35,75.48387096774194,57.54838709677419,66.51612903225806,2005-10-01
USW00093134,2005,11,0.22,73.83333333333333,53.86666666666667,63.85,2005-11-01
USW00093134,2005,12,1.03,67.70967741935483,50.45161290322581,59.08064516129032,2005-12-01
USW00093134,2006,1,2.06,67.93548387096774,48.03225806451613,57.983870967741936,2006-01-01
USW00093134,2006,2,2.37,70.53571428571429,48.75,59.642857142857146,2006-02-01
USW00093134,2006,3,2.87,63.32258064516129,47.225806451612904,55.274193548387096,2006-03-01
USW00093134,2006,4,2.15,68.6,53.1,60.85,2006-04-01
USW00093134,2006,5,0.85,74.25806451612904,59.54838709677419,66.90322580645162,2006-05-01
USW00093134,2006,6,0.0,82.9,64.06666666666666,73.48333333333333,2006-06-01
USW00093134,2006,7,0.0,89.70967741935483,70.09677419354838,79.90322580645162,2006-07-01
USW00093134,2006,8,0.0,84.80645161290323,66.35483870967742,75.58064516129032,2006-08-01
USW00093134,2006,9,0.0,84.43333333333334,64.2,74.31666666666666,2006-09-01
USW00093134,2006,10,0.34,79.45161290322581,60.0,69.7258064516129,2006-10-01
USW00093134,2006,11,0.16,77.9,56.766666666666666,67.33333333333333,2006-11-01
USW00093134,2006,12,0.81,71.2258064516129,48.193548387096776,59.70967741935484,2006-12-01
USW00093134,2007,1,0.19,68.25806451612904,46.774193548387096,57.516129032258064,2007-01-01
USW00093134,2007,2,0.92,71.39285714285714,51.535714285714285,61.464285714285715,2007-02-01
USW00093134,2007,3,0.05,73.3225806451613,53.096774193548384,63.20967741935484,2007-03-01
USW00093134,2007,4,0.74,70.96666666666667,54.233333333333334,62.6,2007-04-01
USW00093134,2007,5,0.0,73.58064516129032,56.70967741935484,65.14516129032258,2007-05-01
